Department,ATC5,Order_number,Order_name,Strength,Type_of_Medicine,Package_size,Cost,Number_of_Packages,Cost_w1,Number_of_Packages_w1,Cost_w2,Number_of_Packages_w2,Cost_w3,Number_of_Packages_w3,Cost_w4,Number_of_Packages_w4,Cost_w5,Number_of_Packages_w5,Cost_w6,Number_of_Packages_w6,Cost_w7,Number_of_Packages_w7,Cost_w8,Number_of_Packages_w8,Cost_w9,Number_of_Packages_w9,Cost_w10,Number_of_Packages_w10,Cost_w11,Number_of_Packages_w11,Cost_w12,Number_of_Packages_w12,Cost_w13,Number_of_Packages_w13,Cost_w14,Number_of_Packages_w14,Cost_w15,Number_of_Packages_w15,Cost_w16,Number_of_Packages_w16,Cost_w17,Number_of_Packages_w17,Cost_w18,Number_of_Packages_w18,Cost_w19,Number_of_Packages_w19,Cost_w20,Number_of_Packages_w20,Cost_w21,Number_of_Packages_w21,Cost_w22,Number_of_Packages_w22,Cost_w23,Number_of_Packages_w23,Cost_w24,Number_of_Packages_w24,Cost_w25,Number_of_Packages_w25,Cost_w26,Number_of_Packages_w26,Cost_w27,Number_of_Packages_w27,Cost_w28,Number_of_Packages_w28,Cost_w29,Number_of_Packages_w29,Cost_w30,Number_of_Packages_w30,Cost_w31,Number_of_Packages_w31,Cost_w32,Number_of_Packages_w32,Cost_w33,Number_of_Packages_w33,Cost_w34,Number_of_Packages_w34,Cost_w35,Number_of_Packages_w35,Cost_w36,Number_of_Packages_w36,Cost_w37,Number_of_Packages_w37,Cost_w38,Number_of_Packages_w38,Cost_w39,Number_of_Packages_w39,Cost_w40,Number_of_Packages_w40,Cost_w41,Number_of_Packages_w41,Cost_w42,Number_of_Packages_w42,Cost_w43,Number_of_Packages_w43,Cost_w44,Number_of_Packages_w44,Cost_w45,Number_of_Packages_w45,Cost_w46,Number_of_Packages_w46,Cost_w47,Number_of_Packages_w47,Cost_w48,Number_of_Packages_w48,Cost_w49,Number_of_Packages_w49,Cost_w50,Number_of_Packages_w50,Cost_w51,Number_of_Packages_w51,Cost_w52,Number_of_Packages_w52,Portionsize,Quantity,Adm_way,Strength_measure,Key,Units
"F, Department of Ortorhinolaryngology",J01XA01,144309,Bactocin,500,"pulv.t.inf.væske,opl",5 stk.,156.14,2.0,,,,,,,,,,,,,156.14,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,IV,MG,"['J01XA01', '500', 'MG', 'IV']",10.0
"F, Department of Ortorhinolaryngology",J01XD01,193605,Metronidazol Baxter Viaflo,5,"inf.væske, opløsning",60 x 100 ml,745.2,4.0,,,,,,,,,,,,,,,,,,,,,745.2,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,60.0,IV,MGM,"['J01XD01', '5', 'MGM', 'IV']",240.0
"F, Department of Ortorhinolaryngology",J07AL02,552928,Prevenar 13,0,"inj.væske,suspension","0,5 ml (Orifarm)",403.85,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.85,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,IM,,"['J07AL02', '0', nan, 'IM']",1.0
"F, Department of Ortorhinolaryngology",M01AB05,1959,Diclodan,100,suppositorier,50 stk. (blister),260.0,1.0,,,,,,,,,,,,,,,,,,,,,,,260.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,50.0,PR,MG,"['M01AB05', '100', 'MG', 'PR']",50.0
"F, Department of Ortorhinolaryngology",M01AE01,27363,Ibumetin,400,filmovertrukne tabl.,250 stk.,102.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.7,2.0,,,,,,,,,,,0.0,250.0,OR,MG,"['M01AE01', '400', 'MG', 'OR']",500.0
"F, Department of Ortorhinolaryngology",M01AH01,189454,Celecoxib Stada,200,"kapsler, hårde",100 stk. (blister),302.4,6.0,,,,,,,,,,,,,,,,,,,,,,,151.2,3.0,151.2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,OR,MG,"['M01AH01', '200', 'MG', 'OR']",600.0
"F, Department of Ortorhinolaryngology",N01BB02,437249,Xylocaine,10,"kutanspray, opløsn.",50 ml,282.53,3.0,,,,,,,,,,,,,188.38,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.15,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,1.0,KU,MGD,"['N01BB02', '10', 'MGD', 'KU']",3.0
"F, Department of Ortorhinolaryngology",N01BB02,720191,Lidocain viskøs m lakridssmag,20,oral gel,100 ml,1083.12,24.0,,,,,,,361.04,8.0,,,,,,,,,225.65,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.65,5.0,,,45.13,1.0,,,225.65,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,1.0,OR,MGM,"['N01BB02', '20', 'MGM', 'OR']",24.0
"F, Department of Ortorhinolaryngology",N01BB20,558386,Emla,0,medicinsk plaster,20 stk.,269.52,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.52,1.0,,,,,,,,,,,0.0,20.0,TD,,"['N01BB20', '0', nan, 'TD']",20.0
"F, Department of Ortorhinolaryngology",N01BB52,720202,Lidokain-adrenalin til lokal-,20,kutanopløsning,30 ml,762.0,6.0,,,,,,,,,,,381.0,3.0,,,,,381.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,1.0,KU,MGM,"['N01BB52', '20', 'MGM', 'KU']",6.0
"F, Department of Ortorhinolaryngology",N01BB52,742478,Lidokain-adrenalin SAD,20,injektionsvæske,5 ml amp x10,605.92,4.0,,,,,,,,,,,,,,,,,,,,,454.44,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.48,1.0,,,,,,,,,,,5.0,10.0,IMSC,MGM,"['N01BB52', '20', 'MGM', 'IMSC']",40.0
"F, Department of Ortorhinolaryngology",N02AX02,399510,Tradolan,50,filmovertrukne tabl.,100 stk. (blister),87.04,2.0,,,,,,,,,,,,,,,,,18.04,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,OR,MG,"['N02AX02', '50', 'MG', 'OR']",200.0
"F, Department of Ortorhinolaryngology",N02BE01,64318,Paracetamol Orifarm,500,filmovertrukne tabl.,300 stk.,22.54,1.0,,,,,,,,,22.54,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,300.0,OR,MG,"['N02BE01', '500', 'MG', 'OR']",300.0
"F, Department of Ortorhinolaryngology",N02BE01,83644,Panodil,500,filmovertrukne tabl.,300 stk.,51.72,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.02,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7,1.0,,,,,,,,,,,0.0,300.0,OR,MG,"['N02BE01', '500', 'MG', 'OR']",600.0
"F, Department of Ortorhinolaryngology",N02BE01,87612,Paracetamol B. Braun,10,"inf.væske, opløsning",10 x 100 ml,141.05,4.0,,,,,34.37,1.0,106.68,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,10.0,IV,MGM,"['N02BE01', '10', 'MGM', 'IV']",40.0
"F, Department of Ortorhinolaryngology",N02BE01,433126,Panodil Brus,500,brusetabletter,20 stk. (blister),45.57,3.0,,,,,,,,,,,,,,,,,45.57,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20.0,OR,MG,"['N02BE01', '500', 'MG', 'OR']",60.0
"F, Department of Ortorhinolaryngology",N02BE01,871970,Paracetamol (ls),10,"inf.væske, opløsning",20 x 100 ml,497.84,7.0,,,,,,,,,,,,,,,142.24,2.0,,,,,,,355.6,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,20.0,IV,MGM,"['N02BE01', '10', 'MGM', 'IV']",140.0
"F, Department of Ortorhinolaryngology",N02AA01,553451,Sendolor,20,"inj.væske, opløsning",10 x 1 ml,182.17,2.0,,,,,,,,,,,,,,,91.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.07,1.0,1.0,10.0,EDIMITIV,MGM,"['N02AA01', '20', 'MGM', 'EDIMITIV']",20.0
"F, Department of Ortorhinolaryngology",N02AA01,563502,Contalgin,5,depottabletter,100 stk. (blister),72.21,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.21,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,OR,MG,"['N02AA01', '5', 'MG', 'OR']",100.0
"F, Department of Ortorhinolaryngology",N02AA01,722363,MORfin,5,injektionsvæske,10 x 2 ml,242.0,2.0,,,,,,,,,,,,,,,242.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,10.0,ED,MGM,"['N02AA01', '5', 'MGM', 'ED']",20.0
"F, Department of Ortorhinolaryngology",N02AA01,743435,Morfin SAD,10,tabletter,100 stk,166.0,3.0,,,,,,,,,,,,,,,,,,,,,,,110.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,OR,MG,"['N02AA01', '10', 'MG', 'OR']",300.0
"F, Department of Ortorhinolaryngology",N02AA05,5685,Oxynorm,5,"kapsler, hårde",98 stk. (blister),147.34,3.0,50.67,1.0,,,50.67,1.0,,,,,,,,,,,,,,,,,46.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,98.0,OR,MG,"['N02AA05', '5', 'MG', 'OR']",294.0
"F, Department of Ortorhinolaryngology",N02AA05,588435,Reltebon Depot,5,depottabletter,28 stk. (blister),20.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.25,1.0,,,,,,,,,,,0.0,28.0,OR,MG,"['N02AA05', '5', 'MG', 'OR']",28.0
"F, Department of Ortorhinolaryngology",N03AX12,584738,Gabapenstad,300,"kapsler, hårde",120 stk. (blister),27.59,1.0,,,,,,,,,,,,,,,,,,,,,,,27.59,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,120.0,OR,MG,"['N03AX12', '300', 'MG', 'OR']",120.0
"F, Department of Ortorhinolaryngology",N05AD08,872263,Droperidol (ls),"2,5","inj.væske, opløsning",10 x 1 ml,300.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,1.0,,,,,,,,,,,1.0,10.0,IV,MGM,"['N05AD08', '2,5', 'MGM', 'IV']",10.0
"F, Department of Ortorhinolaryngology",N05BA01,871873,Diazepam Renaudin (ls),5,"inj.væske, opløsning",10 x 2 ml,108.0,1.0,,,,,,,,,,,,,108.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,10.0,IVIM,MGM,"['N05BA01', '5', 'MGM', 'IVIM']",10.0
"F, Department of Ortorhinolaryngology",N05BA04,460015,Oxazepam Alternova,15,tabletter,25 stk. (blister),47.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,25.0,OR,MG,"['N05BA04', '15', 'MG', 'OR']",25.0
"F, Department of Ortorhinolaryngology",N05BA06,97599,Temesta,1,tabletter,100 stk. (blister),35.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,OR,MG,"['N05BA06', '1', 'MG', 'OR']",100.0
"F, Department of Ortorhinolaryngology",N05BA06,183858,Lorazepam Orion,1,tabletter,100 stk. (blister),43.0,1.0,,,,,,,,,,,,,,,,,,,,,43.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,OR,MG,"['N05BA06', '1', 'MG', 'OR']",100.0
"F, Department of Ortorhinolaryngology",N05CD02,581392,Nitrazepam DAK,5,tabletter,100 stk.,147.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,147.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,OR,MG,"['N05CD02', '5', 'MG', 'OR']",100.0
"F, Department of Ortorhinolaryngology",N05CF01,23947,Zopiclon Stada,"7,5",filmovertrukne tabl.,30 stk. (blister),6.77,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.77,1.0,,,,,,,,,,,0.0,30.0,OR,MG,"['N05CF01', '7,5', 'MG', 'OR']",30.0
"F, Department of Ortorhinolaryngology",N07BA01,65729,Nicorette Invisi,15,depotplastre,14 stk.,104.97,1.0,,,,,,,,,,,,,,,,,104.97,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.0,TD,MGS,"['N07BA01', '15', 'MGS', 'TD']",14.0
"F, Department of Ortorhinolaryngology",P01AB01,521301,Metronidazol DAK,500,filmovertrukne tabl.,100 stk.,172.59,1.0,,,,,,,172.59,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,OR,MG,"['P01AB01', '500', 'MG', 'OR']",100.0
"F, Department of Ortorhinolaryngology",R01AD05,68188,Budesonid Sandoz,64,"næsespray, susp.",120 doser,38.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8,1.0,,,0.0,120.0,IN,RGD,"['R01AD05', '64', 'RGD', 'IN']",120.0
"F, Department of Ortorhinolaryngology",R01AD09,382730,Mometasone Sandoz,50,"næsespray, susp.",140 doser,60.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,2.0,,,,,,,,,,,0.0,140.0,IN,RGD,"['R01AD09', '50', 'RGD', 'IN']",280.0
"F, Department of Ortorhinolaryngology",R01AA07,195873,Xylometazolin Teva,1,"næsespray, opløsning",10 ml,49.0,4.0,,,,,,,,,24.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,IN,MGM,"['R01AA07', '1', 'MGM', 'IN']",4.0
"F, Department of Ortorhinolaryngology",R01AA07,401456,Zymelin ukonserveret,"0,5","næsespray, opløsning",10 ml,125.35,5.0,,,,,,,,,75.21,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.14,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,IN,MGM,"['R01AA07', '0,5', 'MGM', 'IN']",5.0
"F, Department of Ortorhinolaryngology",R03BB04,129152,Spiriva Respimat,"2,5","inhal.væske, opløsn.",30 doser+device (flergang),146.09,1.0,,,,,,,,,146.09,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30.0,IH,RG,"['R03BB04', '2,5', 'RG', 'IH']",30.0
"F, Department of Ortorhinolaryngology",R06AE07,170273,Alnok,10,filmovertrukne tabl.,100 stk. (blister),17.35,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.35,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,OR,MG,"['R06AE07', '10', 'MG', 'OR']",100.0
"F, Department of Ortorhinolaryngology",R06AA04,806167,Tavegyl (ls),1,"inj.væske, opløsning",5 x 2 ml,58.0,1.0,58.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,IMIV,MGM,"['R06AA04', '1', 'MGM', 'IMIV']",5.0
"F, Department of Ortorhinolaryngology",S01XA20,145250,Viskøse Øjendråber Ophtha,"3,5",øjendråber,10 ml,79.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.8,2.0,,,,,,,,,,,10.0,1.0,OK,MGM,"['S01XA20', '3,5', 'MGM', 'OK']",2.0
"F, Department of Ortorhinolaryngology",S01AA01,190036,Kloramfenikol Santen,10,øjensalve,"3,5 g",90.0,2.0,,,,,,,,,,,,,,,,,,,,,,,90.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.5,OK,MGG,"['S01AA01', '10', 'MGG', 'OK']",7.0
"F, Department of Ortorhinolaryngology",S01AA01,549654,Kloramfenikol Santen,5,"øjendrb.,opl.,endos.","30 x 0,25 ml",60.69,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.69,1.0,,,,,,,,,,,0.25,30.0,OK,MGM,"['S01AA01', '5', 'MGM', 'OK']",30.0
"F, Department of Ortorhinolaryngology",S01AA13,515608,Fucithalmic,1,"øjendråber, susp.",5 g,50.14,1.0,,,,,,,50.14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,OK,PC,"['S01AA13', '1', 'PC', 'OK']",1.0
"F, Department of Ortorhinolaryngology",S02CA06,90570,Ciloxadex,0,"øredråber, susp.",5 ml,51.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8,1.0,,,5.0,1.0,AU,,"['S02CA06', '0', nan, 'AU']",1.0
"F, Department of Ortorhinolaryngology",S02AA15,122238,Ciloxan,3,"øredråber, opløsning",5 ml,142.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.0,1.0,,,,,,,,,,,5.0,1.0,AU,MGM,"['S02AA15', '3', 'MGM', 'AU']",1.0
"F, Department of Ortorhinolaryngology",S03CA04,180729,Hydrocortison m.Terram.+Polym.,0,"øjen- og øredrb,susp",5 ml,22.0,1.0,,,,,,,,,,,,,,,,,,,,,,,22.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,AUOK,,"['S03CA04', '0', nan, 'AUOK']",1.0
"F, Department of Ortorhinolaryngology",V03AB15,473630,Forvel,"0,4","inj.-/inf.vsk.,opl.",10 x 1 ml,108.75,1.0,,,,,,,,,,,,,108.75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,,MGM,"['V03AB15', '0,4', 'MGM', nan]",10.0
"F, Department of Ortorhinolaryngology",V07,798553,Japansk pebermynteolie,0,Olie,20 ml,58.8,2.0,,,,,,,,,,,,,,,,,,,,,,,58.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,1.0,,,"['V07', '0', nan, nan]",2.0
"F, Department of Ortorhinolaryngology",V07,856592,Returstrips,0,_,100 stk.,41.01,1.0,,,,,41.01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,,,"['V07', '0', nan, nan]",100.0
"F, Department of Ortorhinolaryngology",V07,857037,Restordre uden erstatning,0,_,1 blok,8.23,1.0,,,,,8.23,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,"['V07', '0', nan, nan]",0.0
"F, Department of Ortorhinolaryngology",V07,857038,Restordre med erstatning,0,_,1 blok,8.23,1.0,,,,,8.23,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,"['V07', '0', nan, nan]",0.0
"F, Department of Ortorhinolaryngology",V07,851750,Returmanillamærker,_,_,50 Stk.,31.63,1.0,,,,,31.63,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,50.0,0.0,0.0,0.0,50.0
"F, Department of Ortorhinolaryngology",V07,865422,Plastflaske 1 l medicinaffald,_,_,1 l,51.92,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.92,2.0,0.0,0.0,0.0,0.0,0.0,0.0
"F, Department of Ortorhinolaryngology",V07,147578,Sterile Water Fresenius Kabi,_,solv. t parent. anv.,20 x 20 ml (PE-amp.),173.5,10.0,,,,,,,69.4,4.0,,,,,,,,,,,,,,,104.1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,20.0,0.0,0.0,0.0,200.0
"F, Department of Ortorhinolaryngology",V07,405168,Natriumklorid Fres.Kabi 9mg/ml,9 mg/ml,solv. t parent. anv.,20 x 20 ml,34.54,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.54,2.0,,,20.0,20.0,0.0,0.0,0.0,40.0
"F, Department of Ortorhinolaryngology",V07,722189,Sterilt vand,0,Skyllevæske,1000 ml,110.95,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.85,1.0,,,,,,,,,,,,,,,,,95.1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,1.0,,,"['V07', '0', nan, nan]",7.0
"F, Department of Ortorhinolaryngology",V07,805278,Natriumklorid 9mg/ml Fres.Kabi,9 mg/ml,Skyllevæske,10 x 120 ml,136.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,10.0,0.0,0.0,0.0,20.0
"F, Department of Ortorhinolaryngology",V07,842166,BD PosiFlush SP,"0,90%",Skyllevæske,480 x 10 ml (1 hel kasse),1452.48,2.0,,,,,,,726.24,1.0,,,,,,,,,,,,,,,726.24,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,480.0,0.0,0.0,0.0,960.0
"F, Department of Ortorhinolaryngology",V07,850633,Hospitalssprit - Snaplåg,_,_,1 stk.,60.0,12.0,,,,,,,,,,,,,,,,,30.0,6.0,,,,,30.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,12.0
