Department,ATC5,Order_number,Order_name,Strength,Type_of_Medicine,Package_size,Cost,Number_of_Packages,Cost_w1,Number_of_Packages_w1,Cost_w2,Number_of_Packages_w2,Cost_w3,Number_of_Packages_w3,Cost_w4,Number_of_Packages_w4,Cost_w5,Number_of_Packages_w5,Cost_w6,Number_of_Packages_w6,Cost_w7,Number_of_Packages_w7,Cost_w8,Number_of_Packages_w8,Cost_w9,Number_of_Packages_w9,Cost_w10,Number_of_Packages_w10,Cost_w11,Number_of_Packages_w11,Cost_w12,Number_of_Packages_w12,Cost_w13,Number_of_Packages_w13,Cost_w14,Number_of_Packages_w14,Cost_w15,Number_of_Packages_w15,Cost_w16,Number_of_Packages_w16,Cost_w17,Number_of_Packages_w17,Cost_w18,Number_of_Packages_w18,Cost_w19,Number_of_Packages_w19,Cost_w20,Number_of_Packages_w20,Cost_w21,Number_of_Packages_w21,Cost_w22,Number_of_Packages_w22,Cost_w23,Number_of_Packages_w23,Cost_w24,Number_of_Packages_w24,Cost_w25,Number_of_Packages_w25,Cost_w26,Number_of_Packages_w26,Cost_w27,Number_of_Packages_w27,Cost_w28,Number_of_Packages_w28,Cost_w29,Number_of_Packages_w29,Cost_w30,Number_of_Packages_w30,Cost_w31,Number_of_Packages_w31,Cost_w32,Number_of_Packages_w32,Cost_w33,Number_of_Packages_w33,Cost_w34,Number_of_Packages_w34,Cost_w35,Number_of_Packages_w35,Cost_w36,Number_of_Packages_w36,Cost_w37,Number_of_Packages_w37,Cost_w38,Number_of_Packages_w38,Cost_w39,Number_of_Packages_w39,Cost_w40,Number_of_Packages_w40,Cost_w41,Number_of_Packages_w41,Cost_w42,Number_of_Packages_w42,Cost_w43,Number_of_Packages_w43,Cost_w44,Number_of_Packages_w44,Cost_w45,Number_of_Packages_w45,Cost_w46,Number_of_Packages_w46,Cost_w47,Number_of_Packages_w47,Cost_w48,Number_of_Packages_w48,Cost_w49,Number_of_Packages_w49,Cost_w50,Number_of_Packages_w50,Cost_w51,Number_of_Packages_w51,Cost_w52,Number_of_Packages_w52,Portionsize,Quantity,Adm_way,Strength_measure,Key,Units
"ANEU, Department of Neuroanesthesiology",N05CH01,556539,Melatonin Orifarm,3,filmovertrukne tabl.,30 stk.,3210.98,70.0,,,252.6,4.0,,,315.75,5.0,126.3,2.0,,,189.45,3.0,126.3,2.0,,,442.05,7.0,,,126.3,2.0,,,,,126.3,2.0,,,139.92,4.0,139.92,4.0,,,69.96,2.0,,,104.94,3.0,104.94,3.0,,,,,,,69.96,2.0,,,69.96,2.0,,,,,69.96,2.0,,,,,69.96,2.0,,,105.12,3.0,35.04,1.0,70.08,2.0,,,70.18,2.0,35.09,1.0,70.18,2.0,,,105.27,3.0,,,,,70.18,2.0,35.09,1.0,,,70.18,2.0,,,0.0,30.0,OR,MG,"['N05CH01', '3', 'MG', 'OR']",2100.0
"ANEU, Department of Neuroanesthesiology",N06AB04,165689,Citalopram Stada,20,filmovertrukne tabl.,100 stk. (blister),12.05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,OR,MG,"['N06AB04', '20', 'MG', 'OR']",100.0
"ANEU, Department of Neuroanesthesiology",N06AB04,590845,Citalopram Stada,10,filmovertrukne tabl.,100 stk. (blister),13.71,1.0,,,,,,,,,,,,,,,,,,,,,13.71,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,OR,MG,"['N06AB04', '10', 'MG', 'OR']",100.0
"ANEU, Department of Neuroanesthesiology",N06AX16,422382,Venlafaxin Orion,"37,5","depotkapsler, hårde",28 stk. (blister),39.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,1.0,0.0,28.0,OR,MG,"['N06AX16', '37,5', 'MG', 'OR']",28.0
"ANEU, Department of Neuroanesthesiology",N06BA04,411616,Methylphenidate Sandoz,36,depottabletter,30 stk.,64.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30.0,OR,MG,"['N06BA04', '36', 'MG', 'OR']",30.0
"ANEU, Department of Neuroanesthesiology",N06BA04,470148,Methylphenidate Sandoz,54,depottabletter,30 stk.,207.9,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,1.0,,,,,,,,,0.0,30.0,OR,MG,"['N06BA04', '54', 'MG', 'OR']",60.0
"ANEU, Department of Neuroanesthesiology",N06AA09,411034,Amitriptylin Abcur,25,filmovertrukne tabl.,100 stk.,35.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,OR,MG,"['N06AA09', '25', 'MG', 'OR']",100.0
"ANEU, Department of Neuroanesthesiology",N06AA10,401828,Noritren,10,filmovertrukne tabl.,100 stk.,37.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.3,1.0,,,,,,,,,,,,,0.0,100.0,OR,MG,"['N06AA10', '10', 'MG', 'OR']",100.0
"ANEU, Department of Neuroanesthesiology",N07BC02,413728,Metadon DAK,1,oral opløsning,100 ml,3872.77,126.0,,,,,639.87,21.0,,,335.17,11.0,,,,,,,304.7,10.0,,,,,,,,,,,487.52,16.0,,,152.35,5.0,,,91.41,3.0,152.35,5.0,,,,,,,,,,,,,310.8,10.0,621.6,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,155.4,5.0,,,,,,,,,155.4,5.0,155.4,5.0,,,,,310.8,10.0,,,100.0,1.0,OR,MGM,"['N07BC02', '1', 'MGM', 'OR']",126.0
"ANEU, Department of Neuroanesthesiology",N07BC02,481398,Metadon DAK,20,tabletter,100 stk. (blister),396.13,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.02,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,42.19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.92,2.0,,,,,,,0.0,100.0,OR,MG,"['N07BC02', '20', 'MG', 'OR']",500.0
"ANEU, Department of Neuroanesthesiology",N07BC02,563393,Metadon DAK,5,tabletter,100 stk.,20.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,1.0,,,,,0.0,100.0,OR,MG,"['N07BC02', '5', 'MG', 'OR']",100.0
"ANEU, Department of Neuroanesthesiology",N07AA01,744870,Neostigmin SAD,"0,5",injektionsvæske,5 ml amp x10,258.47,1.0,,,,,258.47,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,10.0,IMIVSC,MGM,"['N07AA01', '0,5', 'MGM', 'IMIVSC']",10.0
"ANEU, Department of Neuroanesthesiology",N07AA02,180071,Mestinon,60,overtrukne tabletter,150 stk.,156.26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,150.0,OR,MG,"['N07AA02', '60', 'MG', 'OR']",150.0
"ANEU, Department of Neuroanesthesiology",R05CB13,148213,Pulmozyme,1,"inhvsk t. nebul, opl","30 x 2,5 ml",9092.89,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4598.0,1.0,,,,,,,,,4494.89,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,30.0,IH,MGM,"['R05CB13', '1', 'MGM', 'IH']",60.0
"ANEU, Department of Neuroanesthesiology",R06AD02,166611,Phenergan,25,filmovertrukne tabl.,100 stk. (blister),45.0,1.0,,,,,,,,,45.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,OR,MG,"['R06AD02', '25', 'MG', 'OR']",100.0
"ANEU, Department of Neuroanesthesiology",R06AE07,170273,Alnok,10,filmovertrukne tabl.,100 stk. (blister),71.34,4.0,,,,,,,,,19.29,1.0,,,,,,,,,,,,,,,,,,,,,,,17.35,1.0,,,,,,,,,,,,,,,,,,,17.35,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.35,1.0,,,0.0,100.0,OR,MG,"['R06AE07', '10', 'MG', 'OR']",400.0
"ANEU, Department of Neuroanesthesiology",R06AA04,806167,Tavegyl (ls),1,"inj.væske, opløsning",5 x 2 ml,116.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,IMIV,MGM,"['R06AA04', '1', 'MGM', 'IMIV']",10.0
"ANEU, Department of Neuroanesthesiology",S01BA01,486860,Maxidex,1,"øjendråber, susp.",5 ml,15.5,1.0,,,,,,,,,,,,,15.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,OK,MGM,"['S01BA01', '1', 'MGM', 'OK']",1.0
"ANEU, Department of Neuroanesthesiology",S01BC03,34934,Voltaren Ophtha,1,"øjendrb.,endosisbeh.","20 x 0,3 ml",44.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,1.0,,,,,0.3,20.0,OK,MGM,"['S01BC03', '1', 'MGM', 'OK']",20.0
"ANEU, Department of Neuroanesthesiology",S01EC03,585493,Dorzolamid STADA,20,"øjendrb., opløsning",5 ml,21.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,OK,MGM,"['S01EC03', '20', 'MGM', 'OK']",1.0
"ANEU, Department of Neuroanesthesiology",S01EC03,593394,Dorzostill,20,"øjendrb., opløsning",5 ml,26.75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,OK,MGM,"['S01EC03', '20', 'MGM', 'OK']",1.0
"ANEU, Department of Neuroanesthesiology",S01XA20,33028,Viscotears,2,øjengel,10 g,50.0,1.0,,,,,,,50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,CO,MGG,"['S01XA20', '2', 'MGG', 'CO']",1.0
"ANEU, Department of Neuroanesthesiology",S01XA20,145250,Viskøse Øjendråber Ophtha,"3,5",øjendråber,10 ml,16119.6,404.0,,,798.0,20.0,,,798.0,20.0,798.0,20.0,,,,,798.0,20.0,,,798.0,20.0,,,798.0,20.0,,,,,798.0,20.0,,,,,798.0,20.0,,,798.0,20.0,,,,,798.0,20.0,,,399.0,10.0,,,798.0,20.0,,,,,,,,,,,798.0,20.0,,,798.0,20.0,,,399.0,10.0,199.5,5.0,718.2,18.0,399.0,10.0,199.5,5.0,319.2,8.0,598.5,15.0,199.5,5.0,,,798.0,20.0,,,718.2,18.0,,,,,798.0,20.0,,,10.0,1.0,OK,MGM,"['S01XA20', '3,5', 'MGM', 'OK']",404.0
"ANEU, Department of Neuroanesthesiology",S01AA01,190036,Kloramfenikol Santen,10,øjensalve,"3,5 g",1395.0,31.0,,,,,90.0,2.0,,,,,,,135.0,3.0,,,,,,,180.0,4.0,,,,,135.0,3.0,180.0,4.0,,,90.0,2.0,,,,,,,,,,,90.0,2.0,,,180.0,4.0,,,,,,,,,,,,,90.0,2.0,,,,,,,,,,,,,,,,,,,,,135.0,3.0,,,,,90.0,2.0,,,,,,,,,,,,,3.5,3.5,OK,MGG,"['S01AA01', '10', 'MGG', 'OK']",108.5
"ANEU, Department of Neuroanesthesiology",S01AA01,544275,Kloramfenikol Santen,10,øjensalve,"4,3 g",137.76,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.76,3.0,,,,,,,,,4.3,4.3,OK,MGG,"['S01AA01', '10', 'MGG', 'OK']",12.9
"ANEU, Department of Neuroanesthesiology",S01AA01,549654,Kloramfenikol Santen,5,"øjendrb.,opl.,endos.","30 x 0,25 ml",848.06,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.59,3.0,,,,,,,60.53,1.0,,,,,,,,,,,242.12,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.06,2.0,,,,,,,,,,,121.38,2.0,,,121.38,2.0,,,0.25,30.0,OK,MGM,"['S01AA01', '5', 'MGM', 'OK']",420.0
"ANEU, Department of Neuroanesthesiology",S01AA13,515608,Fucithalmic,1,"øjendråber, susp.",5 g,45.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,OK,PC,"['S01AA13', '1', 'PC', 'OK']",1.0
"ANEU, Department of Neuroanesthesiology",V03AB15,112695,Naloxon Hameln,"0,4","inj.-/inf.vsk.,opl.",10 x 1 ml,1476.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,461.25,5.0,,,,,,,,,,,553.5,6.0,,,,,,,,,,,,,,,369.0,4.0,,,1.0,10.0,IMIV,MGM,"['V03AB15', '0,4', 'MGM', 'IMIV']",160.0
"ANEU, Department of Neuroanesthesiology",V03AB25,36259,Flumazenil Hameln,"0,1","inj.-/inf.vsk.,opl.",5 X 5 ML,116.46,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.46,2.0,,,,,,,,,,,,,,,,,,,5.0,5.0,IV,MGM,"['V03AB25', '0,1', 'MGM', 'IV']",10.0
"ANEU, Department of Neuroanesthesiology",N01AX10,21636,Propolipid,10,"inj.-/inf.vsk.,emul",10 x 100 ml,16562.7,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3680.6,20.0,,,1840.3,10.0,1840.3,10.0,1840.3,10.0,1840.3,10.0,1840.3,10.0,1840.3,10.0,1840.3,10.0,100.0,10.0,IV,MGM,"['N01AX10', '10', 'MGM', 'IV']",900.0
"F, Department of Ortorhinolaryngology",A03AB02,533489,Robinul,"0,2","inj.væske, opløsning",10 x 1 ml,1479.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,493.0,2.0,,,,,,,493.0,2.0,,,,,,,,,493.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,IMIV,MGM,"['A03AB02', '0,2', 'MGM', 'IMIV']",60.0
"F, Department of Ortorhinolaryngology",A04AA01,60523,Ondansetron Fresenius Kabi,2,"inj.væske, opløsning",5 x 2 ml,7088.75,889.0,144.0,18.0,64.0,8.0,112.0,14.0,184.0,23.0,112.0,14.0,128.0,16.0,168.0,21.0,79.7,10.0,159.4,20.0,79.7,10.0,207.22,26.0,334.74,42.0,39.85,5.0,,,191.28,24.0,175.34,22.0,127.52,16.0,119.55,15.0,207.22,26.0,111.58,14.0,159.4,20.0,175.34,22.0,159.4,20.0,159.4,20.0,175.34,22.0,143.46,18.0,95.64,12.0,414.44,52.0,,,,,,,79.7,10.0,47.82,6.0,79.7,10.0,127.52,16.0,143.46,18.0,63.76,8.0,143.46,18.0,159.4,20.0,103.61,13.0,239.1,30.0,239.1,30.0,,,478.2,60.0,,,239.1,30.0,,,239.1,30.0,,,239.1,30.0,239.1,30.0,,,2.0,5.0,IV,MGM,"['A04AA01', '2', 'MGM', 'IV']",4445.0
"F, Department of Ortorhinolaryngology",B01AB01,742296,Heparin ukonserveret SAD,100,injektionsvæske,10 ml x10,288.78,1.0,,,,,,,,,,,,,,,,,,,,,,,,,288.78,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,IVSC,IUM,"['B01AB01', '100', 'IUM', 'IVSC']",10.0
"F, Department of Ortorhinolaryngology",B05BB01,722467,Natriumklorid,1,"inf.væske, opløsning",10 x 100 ml,213.45,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.45,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,10.0,IV,MOM,"['B05BB01', '1', 'MOM', 'IV']",10.0
"F, Department of Ortorhinolaryngology",C01BD01,106004,Amiodaron Hameln,50,konc.inj.inf.vsk.opl,10 x 3ml,144.85,1.0,,,144.85,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,10.0,IV,MGM,"['C01BD01', '50', 'MGM', 'IV']",10.0
"F, Department of Ortorhinolaryngology",C01DA02,422162,Nitrolingual,"0,4",sublingualspray,200 doser,97.92,2.0,,,,,,,,,,,,,,,,,,,,,,,,,97.92,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,200.0,SL,MGD,"['C01DA02', '0,4', 'MGD', 'SL']",400.0
"F, Department of Ortorhinolaryngology",C01DA02,721981,Glycerylnitrat,5,konc.t.inf.væsk.opl.,10 ml x 10,993.24,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.62,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.62,1.0,,,10.0,10.0,IV,MGM,"['C01DA02', '5', 'MGM', 'IV']",20.0
"F, Department of Ortorhinolaryngology",C07AB02,120157,Metoprololtartrat Paranova,1,"inj.væske, opløsning",5 X 5 ML,762.6,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.52,1.0,,,,,,,610.08,4.0,,,,,,,,,,,,,,,,,5.0,5.0,IV,MGM,"['C07AB02', '1', 'MGM', 'IV']",25.0
"F, Department of Ortorhinolaryngology",D07AC13,434350,Mometan,1,creme,30 g,548.84,6.0,,,,,,,,,,,,,105.12,1.0,,,,,,,,,,,105.12,1.0,,,,,,,,,,,,,,,,,100.3,1.0,,,,,,,100.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.0,2.0,,,,,,,,,,,,,,,,,,,,,,,30.0,1.0,KU,MGG,"['D07AC13', '1', 'MGG', 'KU']",6.0
"F, Department of Ortorhinolaryngology",H02AB02,517803,Dexavit,4,"inj.-/inf.vsk.,opl.",3 x 1 ml,99423.76,3598.0,1326.5,50.0,1459.15,55.0,1936.69,73.0,1644.86,62.0,2122.4,80.0,1724.45,65.0,1485.68,56.0,1326.5,50.0,2148.93,81.0,1485.68,56.0,2387.7,90.0,5597.83,211.0,1034.67,39.0,,,928.55,35.0,2387.7,90.0,1724.45,65.0,2387.7,90.0,3714.2,140.0,1857.1,70.0,1326.5,50.0,2122.4,80.0,2653.0,100.0,2653.0,100.0,1989.75,75.0,1857.1,70.0,2122.4,80.0,1857.1,70.0,530.6,20.0,1061.2,40.0,795.9,30.0,1591.8,60.0,928.55,35.0,1273.44,48.0,2122.4,80.0,1326.5,50.0,1857.1,70.0,2122.4,80.0,1989.75,75.0,1857.1,70.0,2918.3,110.0,1061.2,40.0,1857.1,70.0,2387.7,90.0,2387.7,90.0,2122.4,80.0,2122.4,80.0,2520.35,95.0,1326.5,50.0,3944.1,90.0,3926.4,60.0,130.88,2.0,1.0,3.0,COIMIRIV,MGM,"['H02AB02', '4', 'MGM', 'COIMIRIV']",10794.0
"F, Department of Ortorhinolaryngology",H02AB04,36431,Solu-Medrol,125,pulv.og sol.t.inj.op,1 todelt htgl.+solv. u/kons.,405.36,6.0,,,,,,,,,60.06,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.06,1.0,,,,,,,,,,,276.24,4.0,,,,,,,,,,,,,,,,,,,0.0,0.0,IMIV,MG,"['H02AB04', '125', 'MG', 'IMIV']",0.0
"F, Department of Ortorhinolaryngology",H02AB04,42093,Depo-Medrol,40,"inj.væske,suspension",25 htgl. a 1 ml,1413.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,942.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,IMIR,MGM,"['H02AB04', '40', 'MGM', 'IMIR']",3.0
"F, Department of Ortorhinolaryngology",H02AB04,533979,Solu-Medrol lactosefri,40,pulv.og sol.t.inj.op,1 to-delt htgl.+solv. u/kons.,68.16,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.16,3.0,,,,,,,,,0.0,0.0,IMIV,MG,"['H02AB04', '40', 'MG', 'IMIV']",0.0
"F, Department of Ortorhinolaryngology",H02AB08,562056,Triamcinolonacetonid Paranova,40,"inj.væske,suspension",5 x 1 ml,3658.28,16.0,,,,,,,182.58,1.0,,,,,,,,,,,365.16,2.0,,,182.58,1.0,182.58,1.0,,,,,,,,,,,,,,,,,,,249.58,1.0,249.58,1.0,,,,,,,249.58,1.0,,,,,,,,,,,249.58,1.0,,,,,499.16,2.0,,,,,249.58,1.0,,,998.32,4.0,,,,,,,,,,,,,,,,,,,,,1.0,5.0,IMIR,MGM,"['H02AB08', '40', 'MGM', 'IMIR']",80.0
"F, Department of Ortorhinolaryngology",J01DC02,133174,Cefuroxim Stragen,750,"pul.t.inj.+inf.,opl.",10 stk.,80.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,1.0,40.2,1.0,,,,,,,0.0,10.0,IV,MG,"['J01DC02', '750', 'MG', 'IV']",20.0
"F, Department of Ortorhinolaryngology",J01FF01,459420,Dalacin,150,"inj.væske, opløsning",4 ml,200.15,5.0,,,,,,,,,,,,,,,,,,,36.03,1.0,,,,,,,,,,,,,,,,,,,,,,,41.03,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.03,1.0,,,,,,,,,,,,,,,,,,,82.06,2.0,,,,,,,4.0,1.0,IMIV,MGM,"['J01FF01', '150', 'MGM', 'IMIV']",5.0
"F, Department of Ortorhinolaryngology",J01XD01,193605,Metronidazol Baxter Viaflo,5,"inf.væske, opløsning",60 x 100 ml,558.9,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.3,1.0,,,,,,,,,,,,,,,,,,,,,,,186.3,1.0,,,,,,,,,,,,,,,,,,,,,186.3,1.0,,,,,,,,,,,,,,,,,,,,,100.0,60.0,IV,MGM,"['J01XD01', '5', 'MGM', 'IV']",180.0
"F, Department of Ortorhinolaryngology",M01AB15,140416,Ketorolac trometamol S.A.L.F.,30,"inj.væske, opløsning",5 x 1 ml,3738.4,80.0,,,93.46,2.0,,,93.46,2.0,186.92,4.0,,,,,,,280.38,6.0,93.46,2.0,186.92,4.0,93.46,2.0,,,,,140.19,3.0,186.92,4.0,,,46.73,1.0,186.92,4.0,93.46,2.0,,,46.73,1.0,46.73,1.0,46.73,1.0,46.73,1.0,,,140.19,3.0,,,,,93.46,2.0,,,93.46,2.0,,,,,,,93.46,2.0,93.46,2.0,93.46,2.0,93.46,2.0,,,186.92,4.0,186.92,4.0,140.19,3.0,,,140.19,3.0,140.19,3.0,,,186.92,4.0,,,186.92,4.0,,,,,1.0,5.0,IMIV,MGM,"['M01AB15', '30', 'MGM', 'IMIV']",400.0
"F, Department of Ortorhinolaryngology",M01AE01,857474,Ib-u-ron (ls),150,suppositorier,10 stk.,247.38,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.23,1.0,,,,,,,,,,,,,,,,,,,,,,,82.46,2.0,,,41.23,1.0,,,,,,,,,82.46,2.0,,,,,,,,,,,,,,,,,0.0,10.0,PR,MG,"['M01AE01', '150', 'MG', 'PR']",60.0
"F, Department of Ortorhinolaryngology",N01AX14,35862,Esketamine Orifarm,25,"inj.-/inf.vsk.,opl.",10 x 2 ml,628.6,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.72,1.0,,,,,125.72,1.0,,,,,251.44,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,125.72,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,10.0,IMIV,MGM,"['N01AX14', '25', 'MGM', 'IMIV']",50.0
"F, Department of Ortorhinolaryngology",N01AX14,553021,Esketamine Orifarm,5,"inj.-/inf.vsk.,opl.",10 x 5 ml,320.02,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.02,1.0,,,,,,,,,,,,,,,,,5.0,10.0,IMIV,MGM,"['N01AX14', '5', 'MGM', 'IMIV']",10.0
