Department,ATC5,Order_number,Order_name,Strength,Type_of_Medicine,Package_size,Cost,Number_of_Packages,Cost_w1,Number_of_Packages_w1,Cost_w2,Number_of_Packages_w2,Cost_w3,Number_of_Packages_w3,Cost_w4,Number_of_Packages_w4,Cost_w5,Number_of_Packages_w5,Cost_w6,Number_of_Packages_w6,Cost_w7,Number_of_Packages_w7,Cost_w8,Number_of_Packages_w8,Cost_w9,Number_of_Packages_w9,Cost_w10,Number_of_Packages_w10,Cost_w11,Number_of_Packages_w11,Cost_w12,Number_of_Packages_w12,Cost_w13,Number_of_Packages_w13,Cost_w14,Number_of_Packages_w14,Cost_w15,Number_of_Packages_w15,Cost_w16,Number_of_Packages_w16,Cost_w17,Number_of_Packages_w17,Cost_w18,Number_of_Packages_w18,Cost_w19,Number_of_Packages_w19,Cost_w20,Number_of_Packages_w20,Cost_w21,Number_of_Packages_w21,Cost_w22,Number_of_Packages_w22,Cost_w23,Number_of_Packages_w23,Cost_w24,Number_of_Packages_w24,Cost_w25,Number_of_Packages_w25,Cost_w26,Number_of_Packages_w26,Cost_w27,Number_of_Packages_w27,Cost_w28,Number_of_Packages_w28,Cost_w29,Number_of_Packages_w29,Cost_w30,Number_of_Packages_w30,Cost_w31,Number_of_Packages_w31,Cost_w32,Number_of_Packages_w32,Cost_w33,Number_of_Packages_w33,Cost_w34,Number_of_Packages_w34,Cost_w35,Number_of_Packages_w35,Cost_w36,Number_of_Packages_w36,Cost_w37,Number_of_Packages_w37,Cost_w38,Number_of_Packages_w38,Cost_w39,Number_of_Packages_w39,Cost_w40,Number_of_Packages_w40,Cost_w41,Number_of_Packages_w41,Cost_w42,Number_of_Packages_w42,Cost_w43,Number_of_Packages_w43,Cost_w44,Number_of_Packages_w44,Cost_w45,Number_of_Packages_w45,Cost_w46,Number_of_Packages_w46,Cost_w47,Number_of_Packages_w47,Cost_w48,Number_of_Packages_w48,Cost_w49,Number_of_Packages_w49,Cost_w50,Number_of_Packages_w50,Cost_w51,Number_of_Packages_w51,Cost_w52,Number_of_Packages_w52,Portionsize,Quantity
"F, Department of Ortorhinolaryngology",R05CB01,79666,Mucolysin,600 mg,brusetabletter,20 stk.,76.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20.0
"F, Department of Ortorhinolaryngology",R05DA04,746222,Kodein SAD,25 mg,tabletter,100 stk,126.36,3.0,41.84,1.0,,,,,,,,,,,,,,,,,,,84.52,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"F, Department of Ortorhinolaryngology",R06AE07,170273,Alnok,10 mg,filmovertrukne tabl.,100 stk. (blister),52.05,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.35,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"F, Department of Ortorhinolaryngology",R06AX26,51349,Nefoxef,180 mg,filmovertrukne tabl.,30 stk. (blister),68.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30.0
"F, Department of Ortorhinolaryngology",R06AA11,721180,Dimenhydrinat (Anautin),100 mg,suppositorier,10 stk.,1350.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.75,1.0,,,,,,,506.25,3.0,,,,,,,,,168.75,1.0,337.5,2.0,,,,,168.75,1.0,,,,,,,,,,,,,,,,,0.0,10.0
"F, Department of Ortorhinolaryngology",S01CA01,79854,Oridecin,1+3 mg/ml,"øjendråber, susp.",5 ml,38.89,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.89,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0
"F, Department of Ortorhinolaryngology",S01EE01,497416,Latanoprost Stada,50 mikrogram/ml,"øjendrb., opløsning","2,5 ml",31.24,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.24,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.0
"F, Department of Ortorhinolaryngology",S01XA20,145250,Viskøse Øjendråber Ophtha,"3,5 mg/ml",øjendråber,10 ml,2154.6,54.0,,,,,,,79.8,2.0,,,,,119.7,3.0,199.5,5.0,,,119.7,3.0,119.7,3.0,,,,,,,,,,,159.6,4.0,,,,,,,,,,,159.6,4.0,,,159.6,4.0,,,,,,,,,,,,,,,,,159.6,4.0,239.4,6.0,,,,,,,119.7,3.0,,,,,239.4,6.0,,,,,,,159.6,4.0,,,,,119.7,3.0,,,,,,,10.0,1.0
"F, Department of Ortorhinolaryngology",S01XA20,539668,Øjensalve Neutral Ophtha,200 mg/g,øjensalve,5 ml,1607.76,29.0,,,,,,,,,,,,,166.32,3.0,,,110.88,2.0,166.32,3.0,,,,,,,,,,,,,221.76,4.0,,,,,,,,,,,,,,,221.76,4.0,,,,,,,,,,,221.76,4.0,,,,,,,,,,,,,,,,,,,,,277.2,5.0,,,,,,,,,221.76,4.0,,,,,,,,,,,5.0,1.0
"F, Department of Ortorhinolaryngology",S01AA01,190036,Kloramfenikol Santen,10 mg/g,øjensalve,"3,5 g",1260.0,28.0,,,,,,,90.0,2.0,,,,,,,,,,,,,270.0,6.0,,,,,,,,,,,,,,,,,,,,,,,270.0,6.0,,,,,,,,,,,180.0,4.0,,,270.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,4.0,,,,,,,,,,,,,,,3.5,3.5
"F, Department of Ortorhinolaryngology",S01AA01,544275,Kloramfenikol Santen,10 mg/g,øjensalve,"4,3 g",551.04,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551.04,12.0,,,4.3,4.3
"F, Department of Ortorhinolaryngology",S01AA01,549654,Kloramfenikol Santen,5 mg/ml,"øjendrb.,opl.,endos.","30 x 0,25 ml",847.74,14.0,,,,,,,,,,,,,,,,,,,121.06,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.12,4.0,,,,,,,,,,,181.59,3.0,,,,,,,,,,,,,181.59,3.0,,,,,,,,,121.38,2.0,,,,,,,,,0.25,30.0
"F, Department of Ortorhinolaryngology",S01AA13,515608,Fucithalmic,1%,"øjendråber, susp.",5 g,407.17,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.97,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1,1.0,,,180.4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.7,3.0,,,5.0,1.0
"F, Department of Ortorhinolaryngology",S02****,225235,Remo-wax,_,øredråber,10 ml,112.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,1.0,,,,,,,,,,,,,,,,,,,,,56.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0
"F, Department of Ortorhinolaryngology",S02****,231183,Remo-wax,_,øredråber,10 ml med øresprøjte,142.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,1.0,,,,,,,,,,,,,71.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0
"F, Department of Ortorhinolaryngology",S02CA03,500188,Ciflox,10+2 mg/ml,"øredråber, susp.",10 ml,160.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,2.0,,,,,,,,,,,,,10.0,1.0
"F, Department of Ortorhinolaryngology",S02CA06,90570,Ciloxadex,3+1 mg/ml,"øredråber, susp.",5 ml,694.38,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.6,2.0,,,,,,,,,,,149.04,3.0,,,99.36,2.0,,,,,,,,,89.48,2.0,,,152.94,3.0,,,50.98,1.0,,,50.98,1.0,,,,,,,5.0,1.0
"F, Department of Ortorhinolaryngology",S02CA06,513224,Cilodex,3+1 mg/ml,"øredråber, susp.",5 ml,40.95,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.95,1.0,,,,,,,5.0,1.0
"F, Department of Ortorhinolaryngology",S02AA15,122238,Ciloxan,3 mg/ml,"øredråber, opløsning",5 ml,1135.85,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.74,2.0,433.11,3.0,,,,,,,,,,,,,284.0,2.0,,,130.0,1.0,,,,,,,,,,,5.0,1.0
"F, Department of Ortorhinolaryngology",S03CA04,180729,Hydrocortison m.Terram.+Polym.,15 + 5 + 1 mg/ml,"øjen- og øredrb,susp",5 ml,306.0,10.0,,,,,,,,,,,,,,,,,,,,,88.0,4.0,,,,,,,,,,,,,,,44.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0
"F, Department of Ortorhinolaryngology",V03AB15,112695,Naloxon Hameln,"0,4 mg/ml","inj.-/inf.vsk.,opl.",10 x 1 ml,92.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.25,1.0,,,,,,,,,,,,,1.0,10.0
"F, Department of Ortorhinolaryngology",V03AE01,21411,Resonium,_,pulv.t.oral/rekt.sus,454 g,214.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.0,1.0
"F, Department of Ortorhinolaryngology",V03AE01,141234,Resonium Calcium,_,pulv.t.oral/rekt.sus,300 g,365.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,1.0
"F, Department of Ortorhinolaryngology",V03AE02,36062,Renvela,800 mg,filmovertrukne tabl.,180 stk.,197.18,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.18,1.0,,,,,,,,,0.0,180.0
"F, Department of Ortorhinolaryngology",V07,856592,Returstrips,_,_,100 stk.,41.01,1.0,,,,,,,,,,,,,,,,,,,,,41.01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"F, Department of Ortorhinolaryngology",V07,816686,Plastboks til ikke-flydende,_,_,1 stk.,38.22,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.11,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.11,3.0,,,,,,,0.0,1.0
"F, Department of Ortorhinolaryngology",V07,818922,Plastickassette,"7,5 x 15 cm",_,1 stk.,215.55,9.0,,,,,71.85,3.0,,,,,,,,,,,,,,,,,,,,,,,143.7,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
"F, Department of Ortorhinolaryngology",V07,818948,Plastickassette,15 x 30 cm,_,1 stk.,244.74,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.74,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
"F, Department of Ortorhinolaryngology",V07,819383,Plastickassette,15 x 15 cm,_,1 stk.,163.8,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.8,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
"F, Department of Ortorhinolaryngology",V07,822326,Plastickassette,"7,5 x 7,5 cm",_,1 stk.,26.13,3.0,,,,,26.13,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
"F, Department of Ortorhinolaryngology",V07,851750,Returmanillamærker,_,_,50 Stk.,31.63,1.0,,,,,,,,,,,,,,,,,,,,,31.63,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,50.0
"F, Department of Ortorhinolaryngology",V07,865422,Plastflaske 1 l medicinaffald,_,_,1 l,77.88,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.88,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
"F, Department of Ortorhinolaryngology",V07,147578,Sterile Water Fresenius Kabi,_,solv. t parent. anv.,20 x 20 ml (PE-amp.),1335.95,77.0,,,52.05,3.0,52.05,3.0,86.75,5.0,,,86.75,5.0,69.4,4.0,190.85,11.0,,,86.75,5.0,69.4,4.0,,,52.05,3.0,52.05,3.0,,,121.45,7.0,,,,,,,104.1,6.0,,,69.4,4.0,,,104.1,6.0,138.8,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,20.0
"F, Department of Ortorhinolaryngology",V07,179183,Sterile Water Fresenius Kabi,_,solv. t parent. anv.,20 x 20 ml (PE amp),2083.2,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.16,6.0,,,104.16,6.0,104.16,6.0,208.32,12.0,,,,,,,69.44,4.0,,,173.6,10.0,,,104.16,6.0,104.16,6.0,104.16,6.0,208.32,12.0,,,,,104.16,6.0,104.16,6.0,104.16,6.0,138.88,8.0,,,138.88,8.0,104.16,6.0,104.16,6.0,,,20.0,20.0
"F, Department of Ortorhinolaryngology",V07,405168,Natriumklorid Fres.Kabi 9mg/ml,9 mg/ml,solv. t parent. anv.,20 x 20 ml,3557.62,206.0,,,,,,,,,51.81,3.0,51.81,3.0,,,138.16,8.0,51.81,3.0,103.62,6.0,34.54,2.0,103.62,6.0,,,51.81,3.0,,,86.35,5.0,,,86.35,5.0,,,103.62,6.0,,,69.08,4.0,,,103.62,6.0,103.62,6.0,155.43,9.0,103.62,6.0,,,103.62,6.0,172.7,10.0,69.08,4.0,,,,,120.89,7.0,,,172.7,10.0,,,103.62,6.0,103.62,6.0,103.62,6.0,103.62,6.0,,,,,103.62,6.0,207.24,12.0,103.62,6.0,69.08,4.0,,,103.62,6.0,310.86,18.0,207.24,12.0,,,20.0,20.0
"F, Department of Ortorhinolaryngology",V07,722189,Sterilt vand,_,Skyllevæske,1000 ml,1711.8,108.0,,,,,,,,,47.55,3.0,,,,,15.85,1.0,,,,,63.4,4.0,,,,,,,31.7,2.0,63.4,4.0,47.55,3.0,31.7,2.0,,,,,63.4,4.0,,,,,,,31.7,2.0,63.4,4.0,47.55,3.0,15.85,1.0,47.55,3.0,,,,,,,15.85,1.0,15.85,1.0,31.7,2.0,63.4,4.0,15.85,1.0,47.55,3.0,,,31.7,2.0,47.55,3.0,,,63.4,4.0,,,110.95,7.0,,,,,158.5,10.0,158.5,10.0,206.05,13.0,110.95,7.0,63.4,4.0,1000.0,1.0
"F, Department of Ortorhinolaryngology",V07,805278,Natriumklorid 9mg/ml Fres.Kabi,9 mg/ml,Skyllevæske,10 x 120 ml,2257.2,33.0,,,,,,,,,205.2,3.0,,,,,,,,,,,136.8,2.0,136.8,2.0,,,,,68.4,1.0,68.4,1.0,205.2,3.0,,,,,,,68.4,1.0,68.4,1.0,,,,,136.8,2.0,,,,,136.8,2.0,68.4,1.0,,,,,,,68.4,1.0,,,136.8,2.0,136.8,2.0,,,,,68.4,1.0,,,,,136.8,2.0,,,,,68.4,1.0,,,,,205.2,3.0,,,68.4,1.0,68.4,1.0,,,120.0,10.0
"F, Department of Ortorhinolaryngology",V07,842166,BD PosiFlush SP,"0,90%",Skyllevæske,480 x 10 ml (1 hel kasse),24692.16,34.0,,,,,,,,,,,726.24,1.0,726.24,1.0,726.24,1.0,726.24,1.0,726.24,1.0,726.24,1.0,,,,,,,,,726.24,1.0,,,726.24,1.0,,,,,,,726.24,1.0,,,726.24,1.0,726.24,1.0,1452.48,2.0,,,,,726.24,1.0,726.24,1.0,726.24,1.0,,,,,726.24,1.0,726.24,1.0,726.24,1.0,,,726.24,1.0,726.24,1.0,726.24,1.0,726.24,1.0,,,726.24,1.0,726.24,1.0,1452.48,2.0,,,726.24,1.0,1452.48,2.0,,,1452.48,2.0,726.24,1.0,726.24,1.0,10.0,480.0
"F, Department of Ortorhinolaryngology",V07,720885,"Hospitalssprit,sterilfiltreret",70 % v/v,sprit,1.000 ml,26.63,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.63,1.0,,,,,,,,,1.0,1.0
"F, Department of Ortorhinolaryngology",V07,705137,Eksplorationsgel SAiD,_,gel,100 ml,440.6,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.6,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,1.0
"F, Department of Ortorhinolaryngology",V07,815522,Ampul knækkere,_,_,100 stk.,627.0,10.0,,,,,,,62.7,1.0,,,,,,,,,,,,,,,125.4,2.0,,,125.4,2.0,125.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.7,1.0,125.4,2.0,,,,,,,,,0.0,100.0
"F, Department of Ortorhinolaryngology",A01AB03,750556,Klorhexidin MEDIC,"0,12%",mundskyllevæske,250 ml,4970.76,276.0,,,180.1,10.0,,,360.2,20.0,360.2,20.0,180.1,10.0,90.05,5.0,,,,,,,,,360.2,20.0,,,,,,,,,,,360.2,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.4,40.0,18.01,1.0,,,,,,,360.2,20.0,,,,,,,,,,,,,,,,,360.2,20.0,,,720.4,40.0,540.3,30.0,,,360.2,20.0,250.0,1.0
"F, Department of Ortorhinolaryngology",A02BC02,76200,Pantoprazol SUN,40 mg,"pulv.t.inj.væske,opl",5 stk.,57.99,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.99,1.0,,,,,,,,,,,0.0,5.0
"F, Department of Ortorhinolaryngology",A02BC05,378969,Esomeprazol Sandoz,40 mg,enterotabletter,28 stk. (blister),71.35,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.35,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,28.0
"F, Department of Ortorhinolaryngology",A02AA04,535535,Magnesia DAK,500 mg,filmovertrukne tabl.,250 stk.,58.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,1.0,,,,,,,,,,,0.0,250.0
"F, Department of Ortorhinolaryngology",A04AA01,60523,Ondansetron Fresenius Kabi,2 mg/ml,"inj.væske, opløsning",5 x 2 ml,15.94,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.97,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.97,1.0,,,,,,,,,,,2.0,5.0
"F, Department of Ortorhinolaryngology",A06AB08,427765,Laxoberal,"7,5 mg/ml","orale dråber, opløsn",30 ml,13.18,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.18,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,1.0
"F, Department of Ortorhinolaryngology",A06AD11,443158,Laktulose NMI,660 mg/ml,oral opløsning,500 ml,34.6,1.0,,,,,,,,,,,,,,,,,,,,,,,34.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,1.0
"F, Department of Ortorhinolaryngology",A06AG10,146780,Klyx,1 + 250 mg/ml,"rektalvæske, opløsn.",10 x 240 ml,1044.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1044.0,1.0,,,,,,,,,,,240.0,10.0
"F, Department of Ortorhinolaryngology",A06AG10,154275,Klyx,1 + 250 mg/ml,"rektalvæske, opløsn.",10 x 120 ml,622.43,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622.43,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,10.0
"F, Department of Ortorhinolaryngology",A06AG10,173716,Glyoktyl,6+906 mg/ml,"rektalvæske, opløsn.","15 x 7,5 ml",456.5,5.0,,,91.3,1.0,,,,,,,,,,,91.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.3,1.0,,,,,,,,,,,,,,,,,182.6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,15.0
"F, Department of Ortorhinolaryngology",A10AB05,110313,Insulin aspart Sanofi,100 E/ml,"inj.væske, opl., pen",5 x 3 ml,143.46,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.46,1.0,,,,,,,,,,,3.0,5.0
"F, Department of Ortorhinolaryngology",A10AC01,182456,Insulatard FlexPen,100 IE/ml,"inj.væske, susp.,pen",5 x 3 ml (2care4),248.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0
"F, Department of Ortorhinolaryngology",A11AA03,221464,Apovit Multi voksen,_,tabletter,200 stk.,32.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,1.0,,,,,,,,,,,0.0,200.0
"F, Department of Ortorhinolaryngology",A12AX**,207660,Unikalk Forte,400 mg + 19 mikrog,tabletter,180 stk. ekstra,39.5,1.0,39.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,180.0
"F, Department of Ortorhinolaryngology",A12CX**,722262,Fosfat,1 mmol/ml,oral opløsning,500 ml,108.41,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.41,1.0,,,,,,,,,,,500.0,1.0
"F, Department of Ortorhinolaryngology",A12AA06,193821,Calcium-Sandoz,500 mg,brusetabletter,20 stk.,84.18,3.0,,,,,,,,,,,,,,,,,,,,,56.12,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.06,1.0,,,0.0,20.0
"F, Department of Ortorhinolaryngology",B01AB10,568424,Innohep,3.500 anti-Xa IE,"inj.vsk,opl.,sprøjte",10 stk. safety,1408.13,9.0,773.95,5.0,,,,,,,,,,,,,309.58,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.6,2.0,,,,,,,,,,,0.0,10.0
"F, Department of Ortorhinolaryngology",B02AA02,63060,Cyklonova,500 mg,filmovertrukne tabl.,100 stk. (blister),170.33,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.33,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"F, Department of Ortorhinolaryngology",B02AA02,163962,Tranexamic acid Stragen,100 mg/ml,"inj.-/inf.vsk.,opl.",5 x 10 ml,185.1,3.0,,,,,,,,,,,,,,,185.1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,5.0
"F, Department of Ortorhinolaryngology",B03AB**,217722,Jern MEDIC,34 mg/ml,orale dråber,25 ml,85.2,2.0,,,,,,,,,,,,,,,,,85.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,1.0
"F, Department of Ortorhinolaryngology",B05BA03,740050,Glukose isotonisk SAD,55 g/l,infusionsvæske,1000 ml,80.6,4.0,,,,,,,,,20.15,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.15,1.0,,,,,,,,,,,,,20.15,1.0,,,,,,,,,,,,,,,,,,,20.15,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,1.0
